ID		PosX	PosY	Width	Height
ong		1696	144	32	48
ong		1808	128	32	64
ong		1920	144	32	48
ong		2864	112	64	32
ong		2896	16	32	96
ong		3200	144	32	48
ong		3280	144	32	48
ong		3360	144	32	48
pole		272	176	16	16
pole		304	160	16	32
pole		336	144	16	48
pole		368	128	16	64
pole		400	128	16	64
pole		432	144	16	48
pole		496	144	16	48
pole		528	160	16	32
pole		2192	176	80	16
pole		2208	160	64	16
pole		2224	144	48	16
pole		2240	128	32	16
xi_mang_xanh_1	0	192	1360	16
xi_mang_xanh_1	1408	192	592	16
xi_mang_xanh_1	2032	192	32	16
xi_mang_xanh_1	2096	192	176	16
xi_mang_xanh_1	2384	192	192	16
xi_mang_xanh_1	3688	192	832	16
thang_may	2608	160	48	16
thang_may	2608	32	48	16
thang_may	2304	32	48	16
thang_may	2304	128	48	16
